"","mean","skewness","kurtosis","entropy","complexity","Q1","Q3"
"2",76.7531732891832,0.394226506853821,1.50775115011624,4.68775166116161,5.53912788860831,72,80
"3",120.214766542538,0.51768310842607,1.61171090675637,4.50194859229438,5.46395877394867,116,123
"4",92.3078408078408,0.803319537809276,2.08632956526094,3.93808007179824,5.91661920665451,90,94
"5",67.4005235602094,1.00374056619818,2.65561044601143,3.78461722954565,5.57433245046527,65,69
"6",65.8654004954583,1.20639917841816,3.7089044922762,4.86820431066024,6.41113999206806,62,69
"7",91.5192508893074,0.925745245390664,2.4198623717941,3.75643198155351,5.24507092392461,89,93
"8",62.4632124352332,1.04416587036333,2.80820370729953,3.95051481458452,4.13249432185458,60,64
"9",74.1171171171171,0.247059828620589,1.69627094666404,4.48197255079538,5.46177201645081,70,77
"10",85.2403264812576,0.645512770320522,1.89372174158607,3.61783643220818,8.06673206014211,83,86
"11",67.4803419734263,0.797371037439084,2.12477235642591,4.13678107519535,6.54990727845741,64,69
"12",79.6579861111111,1.11800849830749,2.78842077834828,4.26920285548132,6.49924582111216,77,81
"13",108.826216484608,0.802959708380361,2.2683088223021,4.35907531227019,8.26686450872294,106,111
"14",69.9419720767888,0.739663932583372,1.97048271859802,4.31496225070449,5.0792567411908,67,72
"15",32.4777990854108,1.18811869306475,2.78020688218395,3.32078818599015,5.16048929497472,31,33
"16",78.0024930747922,0.50017356454986,1.6420273458476,2.87722922264722,2.69522065094469,77,78
"17",96.8702566964286,0.358321321792746,1.57293528967355,4.36830401723352,8.03763944578244,94,100
"18",67.0306314797361,1.29395073496526,3.18783990067267,3.75261446410155,6.45556437727033,65,68
"19",67.2402325581395,1.25954681644385,3.15488844383542,4.40549294245018,6.14840673613829,64,69
"20",113.730403943256,0.457587997893294,1.6545238716591,3.55042208073043,6.14814301216462,112,115
"21",108.569619486185,0.903553149559389,2.26992914269365,4.28304939095167,4.42344215301069,105,111
"22",93.2803800532559,0.876115897202974,2.23845534846069,3.65142317615392,5.39136454517156,91,94
"23",75.8739194862929,0.362858499194639,1.46678929448995,3.45954099292112,6.83406399657157,74,77
"24",81.1013262599469,-0.269794901057701,1.46045606551541,3.58842521622119,5.51311969034827,79,82
"25",95.2743248242693,0.75231556230776,2.08619644629441,3.29603968415539,5.71457110642961,94,96
"26",68.5718673218673,0.807576422248292,2.3271291353528,3.93774705751615,3.90091021354611,66,70
"27",108.892235294118,0.742405471676918,2.15659837709438,3.67536227135899,3.62129256410425,106,110
"28",66.0584068430901,0.36948659543499,1.47535423285851,3.78434960315494,3.48860922092754,64,68
"29",66.4762066291917,0.96158055569557,2.44488888238442,3.46257209532749,3.1092182264027,65,67
"30",102.981239556433,0.91650877729092,2.28487360068324,4.11091207879413,5.7385838044965,100,105
"31",91.6546933486899,0.489747862611037,1.6111747870184,3.73155795206901,6.0672504898675,89,93
"32",70.583686440678,0.33240079717039,1.46188515941644,4.14997549466929,5.20820605470551,67,73
"33",87.4711673699016,0.678239057085417,2.21860031013211,3.86116819555097,5.17178580772985,85,89
"34",64.9978563772776,0.616696149480358,1.9170931687643,3.84961594499686,4.20950920342729,63,66
"35",76.9883934025657,1.17727224339759,3.03031552752661,3.59241254406833,3.83157639788875,75,78
"36",97.2645186953063,0.539480050503985,1.7198430399161,2.86448214026007,2.46252283462068,96,97
"37",73.8102345415778,0.934993987524766,2.64157360801524,3.59557547602615,3.17118152313329,72,75
"38",110.211810466761,0.962184684812536,3.33546648574517,3.3510154907683,4.9335192402633,108,111
"39",91.2312941176471,0.535072228150199,2.15563646829576,4.40987977627947,5.97410020918795,87,94
"40",86.619362597715,0.898265473107343,2.50836267341318,4.06326873018264,4.20750440783141,84,88
"41",116.217243058938,0.582370079200977,1.8595754026318,3.95153953937987,4.36110023097225,114,118
"42",102.594473938224,0.644648098690932,1.83673409050322,4.34108708599504,5.8269648952221,99,105
"43",102.138513513514,0.343156480461565,1.72859219186285,4.80590179380996,5.11897144967553,97,106
"44",74.3345667223681,0.197748291236379,1.71324881236099,4.01471771584597,7.69974890563199,71,76
"45",81.1740837696335,0.317977246528598,1.48276316413326,3.48246222911829,3.43275963525046,79,82
"46",49.1531365313653,0.837450348391158,2.79025151057931,3.62323959143036,8.09452186513101,47,50
"47",84.1660638297872,0.926668826574159,2.38249228592071,4.17965869463896,7.60139874189664,81,86
"48",50.1448170731707,-0.172150406828964,1.60442247703067,4.12689509598349,6.05700314400207,47,53
"49",95.2266699410609,0.587896993299256,1.71682663552058,3.98611841886967,4.0057950574997,92,97
"50",50.9273414065104,0.370212742705968,1.9077525981489,3.22951114859054,3.6538510302387,49,52
"51",79.6179139706182,0.710702494277058,1.96272650584538,3.48978889881723,4.62450152603437,78,80
"52",92.4366359447005,0.231146223180255,1.43016892598567,3.96839475896413,3.2514327127632,90,94
"53",120.480973247232,0.506910503932286,1.7590718480205,4.56589799278819,5.13428720449554,116,123
"54",152.597868217054,0.350725317031905,1.60025137262454,3.70879399105702,4.89597059171756,150,154
"55",115.940082644628,0.380165541325151,1.60633854926311,4.30716565849289,5.4540989774451,112,118
"56",121.57993260951,0.422310424485936,1.65026621215404,4.41205876539326,3.90722644810695,118,124
"57",84.475647490259,0.719588599492409,2.11661618956961,4.60280401173238,5.44674184961516,81,88
"58",84.8636486852806,0.522235454078615,1.82490826447064,4.1630598264279,5.27138686767352,82,87
